trip_id,trip_datetime,time_of_day,distance_km,duration_minutes,surge_multiplier,fare_kes,fuel_cost_kes,driver_payout_kes,platform_cost_kes,total_cost_kes,profit_kes,profit_margin_pct,profit_per_km,profit_per_minute,day_of_week,hour
36,2025-03-19 20:10:00,Peak,6.91,19.57,1.69,879.22,96.26,694.58,27.38,818.22,61.0,6.94,8.83,3.12,Wednesday,20
37,2025-03-10 23:15:00,Off-Peak,4.96,8.66,1.06,415.1,81.39,298.87,49.58,429.84,-14.74,-3.55,-2.97,-1.7,Monday,23
38,2025-01-21 14:24:00,Off-Peak,3.63,6.38,1.02,325.17,64.07,263.39,40.92,368.38,-43.21,-13.29,-11.9,-6.77,Tuesday,14
39,2025-02-04 20:44:00,Peak,10.32,32.05,1.61,1069.37,178.64,802.03,55.84,1036.51,32.86,3.07,3.18,1.03,Tuesday,20
40,2025-03-13 07:43:00,Peak,12.19,32.78,1.46,1214.03,157.25,983.36,56.33,1196.94,17.09,1.41,1.4,0.52,Thursday,7
41,2025-02-11 01:14:00,Off-Peak,4.96,11.09,1.02,453.94,78.17,349.53,31.88,459.58,-5.64,-1.24,-1.14,-0.51,Tuesday,1
42,2025-04-16 01:51:00,Off-Peak,16.41,35.46,1.1,1138.27,295.05,876.47,24.06,1195.58,-57.31,-5.03,-3.49,-1.62,Wednesday,1
43,2025-02-10 12:17:00,Off-Peak,9.78,19.85,1.01,676.29,134.67,520.74,33.76,689.17,-12.88,-1.9,-1.32,-0.65,Monday,12
44,2025-01-09 06:58:00,Peak,6.86,29.34,1.75,948.73,108.46,768.47,22.68,899.61,49.12,5.18,7.16,1.67,Thursday,6
45,2025-05-01 18:56:00,Peak,8.02,26.03,1.36,864.71,139.87,639.89,51.25,831.01,33.7,3.9,4.2,1.29,Thursday,18
46,2025-04-02 10:13:00,Off-Peak,3.04,7.48,1.13,268.58,52.9,209.49,25.85,288.24,-19.66,-7.32,-6.47,-2.63,Wednesday,10
47,2025-03-25 15:25:00,Off-Peak,10.24,21.57,1.06,616.37,142.64,462.28,54.65,659.57,-43.2,-7.01,-4.22,-2.0,Tuesday,15
48,2025-04-24 20:29:00,Peak,3.2,10.82,1.51,513.9,40.19,416.26,36.61,493.06,20.84,4.06,6.51,1.93,Thursday,20
49,2025-01-19 08:08:00,Peak,4.52,14.88,1.53,515.73,71.78,381.64,31.14,484.56,31.17,6.04,6.9,2.09,Sunday,8
50,2025-02-01 23:35:00,Off-Peak,6.18,13.59,1.04,514.52,109.26,406.47,40.06,555.79,-41.27,-8.02,-6.68,-3.04,Saturday,23
51,2025-03-10 08:47:00,Peak,18.92,52.56,1.78,2046.55,284.75,1555.38,44.22,1884.35,162.2,7.93,8.57,3.09,Monday,8
52,2025-03-16 13:57:00,Off-Peak,7.61,19.24,1.16,651.36,112.25,514.57,48.06,674.88,-23.52,-3.61,-3.09,-1.22,Sunday,13
53,2025-03-16 12:23:00,Off-Peak,3.45,11.69,1.19,353.6,59.27,261.66,33.53,354.46,-0.86,-0.24,-0.25,-0.07,Sunday,12
54,2025-01-29 04:32:00,Off-Peak,8.04,16.28,1.18,661.11,116.98,502.44,59.32,678.74,-17.63,-2.67,-2.19,-1.08,Wednesday,4
55,2025-03-05 02:48:00,Off-Peak,9.42,18.37,1.12,747.92,151.57,545.98,36.89,734.44,13.48,1.8,1.43,0.73,Wednesday,2
56,2025-01-07 03:09:00,Off-Peak,13.44,31.02,1.18,968.18,192.6,793.91,53.38,1039.89,-71.71,-7.41,-5.34,-2.31,Tuesday,3
57,2025-03-22 05:50:00,Off-Peak,6.39,12.96,1.02,534.85,91.12,395.79,21.39,508.3,26.55,4.96,4.15,2.05,Saturday,5
58,2025-03-29 13:38:00,Off-Peak,3.85,9.09,1.04,343.49,50.55,281.66,51.12,383.33,-39.84,-11.6,-10.35,-4.38,Saturday,13
59,2025-01-09 12:24:00,Off-Peak,21.96,41.05,1.01,1289.79,275.16,980.24,42.05,1297.45,-7.66,-0.59,-0.35,-0.19,Thursday,12
60,2025-03-18 14:33:00,Off-Peak,8.05,17.93,1.07,640.19,139.35,467.34,45.59,652.28,-12.09,-1.89,-1.5,-0.67,Tuesday,14
61,2025-02-02 17:55:00,Peak,3.47,11.22,1.43,511.61,45.42,368.36,34.92,448.7,62.91,12.3,18.13,5.61,Sunday,17
62,2025-05-01 00:43:00,Off-Peak,6.36,12.37,1.05,475.84,78.67,371.16,41.79,491.62,-15.78,-3.32,-2.48,-1.28,Thursday,0
63,2025-04-03 03:43:00,Off-Peak,4.52,8.79,1.17,358.2,70.01,279.4,57.29,406.7,-48.5,-13.54,-10.73,-5.52,Thursday,3
64,2025-04-24 17:48:00,Peak,13.93,43.45,1.41,1300.12,212.85,1001.09,35.44,1249.38,50.74,3.9,3.64,1.17,Thursday,17
65,2025-02-04 20:21:00,Peak,9.36,26.52,1.37,826.59,144.24,603.41,24.23,771.88,54.71,6.62,5.85,2.06,Tuesday,20
66,2025-01-15 09:27:00,Peak,5.21,17.34,1.53,644.89,77.16,483.67,48.82,609.65,35.24,5.46,6.76,2.03,Wednesday,9
67,2025-01-21 14:00:00,Off-Peak,12.2,21.89,1.03,765.19,156.77,581.54,40.21,778.52,-13.33,-1.74,-1.09,-0.61,Tuesday,14
68,2025-04-03 23:16:00,Off-Peak,6.01,12.89,1.16,455.04,72.9,359.48,37.0,469.38,-14.34,-3.15,-2.39,-1.11,Thursday,23
69,2025-03-06 05:32:00,Off-Peak,6.26,15.04,1.01,431.1,76.87,327.64,51.11,455.62,-24.52,-5.69,-3.92,-1.63,Thursday,5
70,2025-04-27 03:55:00,Off-Peak,3.77,9.8,1.2,445.72,66.58,347.66,42.49,456.73,-11.01,-2.47,-2.92,-1.12,Sunday,3
71,2025-03-22 09:53:00,Peak,3.75,11.71,1.66,544.13,56.96,408.1,45.26,510.32,33.81,6.21,9.02,2.89,Saturday,9
72,2025-03-23 16:38:00,Off-Peak,21.08,33.02,1.04,1230.36,303.55,971.98,57.04,1332.57,-102.21,-8.31,-4.85,-3.1,Sunday,16
73,2025-01-26 04:23:00,Off-Peak,11.84,21.08,1.0,758.63,171.21,546.21,22.34,739.76,18.87,2.49,1.59,0.9,Sunday,4
74,2025-04-08 05:34:00,Off-Peak,1.33,5.02,1.16,297.49,21.16,243.94,30.5,295.6,1.89,0.64,1.42,0.38,Tuesday,5
75,2025-04-10 16:58:00,Off-Peak,3.14,10.07,1.14,320.46,44.78,249.96,55.93,350.67,-30.21,-9.43,-9.62,-3.0,Thursday,16
76,2025-01-01 19:20:00,Peak,2.65,10.47,1.64,507.86,44.47,370.74,51.71,466.92,40.94,8.06,15.45,3.91,Wednesday,19
77,2025-03-04 00:07:00,Off-Peak,6.77,19.04,1.15,575.87,91.8,454.94,27.54,574.28,1.59,0.28,0.23,0.08,Tuesday,0
78,2025-04-29 11:56:00,Off-Peak,4.83,13.89,1.01,474.1,68.59,379.28,26.76,474.63,-0.53,-0.11,-0.11,-0.04,Tuesday,11
79,2025-04-17 09:15:00,Peak,15.64,59.87,1.42,1552.53,275.42,1242.02,53.01,1570.45,-17.92,-1.15,-1.15,-0.3,Thursday,9
80,2025-01-08 07:56:00,Peak,5.16,16.27,1.27,515.36,69.97,386.52,42.11,498.6,16.76,3.25,3.25,1.03,Wednesday,7
81,2025-03-14 02:05:00,Off-Peak,19.8,43.46,1.17,1397.35,316.21,1145.83,54.41,1516.45,-119.1,-8.52,-6.02,-2.74,Friday,2
82,2025-04-04 15:52:00,Off-Peak,6.14,11.37,1.12,462.74,87.13,333.17,56.71,477.01,-14.27,-3.08,-2.32,-1.26,Friday,15
83,2025-01-09 17:49:00,Peak,22.4,60.94,1.4,1926.98,332.19,1464.5,22.78,1819.47,107.51,5.58,4.8,1.76,Thursday,17
84,2025-01-17 04:42:00,Off-Peak,5.65,13.81,1.01,400.68,69.33,292.5,58.79,420.62,-19.94,-4.98,-3.53,-1.44,Friday,4
85,2025-03-02 17:10:00,Peak,5.72,17.59,1.39,594.81,74.36,452.06,48.66,575.08,19.73,3.32,3.45,1.12,Sunday,17
86,2025-02-03 16:55:00,Off-Peak,11.68,23.9,1.07,839.91,147.28,613.13,53.38,813.79,26.12,3.11,2.24,1.09,Monday,16
87,2025-03-19 13:13:00,Off-Peak,10.64,19.71,1.15,788.42,181.62,614.97,45.21,841.8,-53.38,-6.77,-5.02,-2.71,Wednesday,13
88,2025-04-29 17:48:00,Peak,2.3,8.1,1.58,418.85,40.87,305.76,32.21,378.84,40.01,9.55,17.4,4.94,Tuesday,17
89,2025-04-04 22:12:00,Off-Peak,6.88,16.05,1.18,562.81,85.38,438.99,43.98,568.35,-5.54,-0.98,-0.81,-0.35,Friday,22
90,2025-04-02 09:25:00,Peak,4.8,17.88,1.48,590.76,59.81,437.16,40.63,537.6,53.16,9.0,11.08,2.97,Wednesday,9
91,2025-03-27 20:23:00,Peak,4.57,18.38,1.27,492.71,69.97,364.61,57.28,491.86,0.85,0.17,0.19,0.05,Thursday,20
92,2025-02-26 16:28:00,Off-Peak,6.86,15.75,1.14,536.97,103.04,402.73,42.2,547.97,-11.0,-2.05,-1.6,-0.7,Wednesday,16
93,2025-01-16 07:14:00,Peak,5.31,13.97,1.66,663.53,84.43,517.55,21.12,623.1,40.43,6.09,7.61,2.89,Thursday,7
94,2025-01-09 10:01:00,Off-Peak,7.34,18.88,1.11,549.06,120.52,428.27,47.44,596.23,-47.17,-8.59,-6.43,-2.5,Thursday,10
95,2025-03-17 17:14:00,Peak,3.03,11.21,1.66,444.72,50.84,351.33,22.02,424.19,20.53,4.62,6.78,1.83,Monday,17
96,2025-03-17 07:00:00,Peak,1.87,6.88,1.5,344.48,24.1,279.03,57.76,360.89,-16.41,-4.76,-8.78,-2.39,Monday,7
97,2025-01-10 22:40:00,Off-Peak,11.96,29.52,1.1,815.83,146.27,603.71,39.46,789.44,26.39,3.23,2.21,0.89,Friday,22
98,2025-01-08 07:04:00,Peak,13.12,37.22,1.46,1320.97,227.37,1003.94,58.72,1290.03,30.94,2.34,2.36,0.83,Wednesday,7
99,2025-04-26 01:55:00,Off-Peak,11.5,22.6,1.01,681.67,170.43,511.25,21.03,702.71,-21.04,-3.09,-1.83,-0.93,Saturday,1
100,2025-02-12 02:32:00,Off-Peak,6.65,16.03,1.02,476.88,118.57,371.97,41.31,531.85,-54.97,-11.53,-8.27,-3.43,Wednesday,2
101,2025-01-31 08:42:00,Peak,5.03,14.38,1.22,522.08,76.46,391.56,29.05,497.07,25.01,4.79,4.97,1.74,Friday,8
102,2025-03-04 06:34:00,Peak,4.13,13.74,1.58,484.42,62.2,377.85,45.63,485.68,-1.26,-0.26,-0.31,-0.09,Tuesday,6
103,2025-01-17 23:59:00,Off-Peak,3.58,13.32,1.06,385.4,56.35,308.32,39.93,404.6,-19.2,-4.98,-5.36,-1.44,Friday,23
104,2025-04-23 18:36:00,Peak,6.14,20.85,1.51,691.36,79.94,539.26,42.64,661.84,29.52,4.27,4.81,1.42,Wednesday,18
105,2025-03-02 07:50:00,Peak,12.92,34.59,1.74,1417.94,174.68,1134.35,34.39,1343.42,74.52,5.26,5.77,2.15,Sunday,7
106,2025-03-02 13:12:00,Off-Peak,3.88,7.15,1.05,362.76,67.63,282.95,22.06,372.64,-9.88,-2.72,-2.55,-1.38,Sunday,13
107,2025-01-13 03:42:00,Off-Peak,12.93,26.62,1.08,900.96,171.58,729.78,24.24,925.6,-24.64,-2.73,-1.91,-0.93,Monday,3
108,2025-02-25 11:27:00,Off-Peak,1.95,8.99,1.15,236.02,26.13,191.18,54.34,271.65,-35.63,-15.1,-18.27,-3.96,Tuesday,11
109,2025-02-22 14:55:00,Off-Peak,7.59,18.7,1.05,549.76,114.31,423.32,48.11,585.74,-35.98,-6.54,-4.74,-1.92,Saturday,14
110,2025-04-04 01:43:00,Off-Peak,8.64,18.89,1.02,644.38,136.94,515.5,50.78,703.22,-58.84,-9.13,-6.81,-3.11,Friday,1
111,2025-03-25 20:06:00,Peak,4.46,13.87,1.37,497.61,53.56,383.16,24.91,461.63,35.98,7.23,8.07,2.59,Tuesday,20
112,2025-01-08 12:46:00,Off-Peak,2.88,9.7,1.03,256.88,42.45,202.94,21.97,267.36,-10.48,-4.08,-3.64,-1.08,Wednesday,12
113,2025-02-13 03:15:00,Off-Peak,11.0,24.95,1.19,845.63,158.29,608.85,20.69,787.83,57.8,6.84,5.25,2.32,Thursday,3
114,2025-01-25 06:34:00,Peak,6.69,21.91,1.68,850.86,115.0,697.71,40.87,853.58,-2.72,-0.32,-0.41,-0.12,Saturday,6
115,2025-02-27 04:27:00,Off-Peak,26.48,46.67,1.13,1682.71,451.22,1363.0,40.04,1854.26,-171.55,-10.19,-6.48,-3.68,Thursday,4
116,2025-01-24 08:29:00,Peak,13.04,42.12,1.72,1523.44,227.42,1233.99,24.43,1485.84,37.6,2.47,2.88,0.89,Friday,8
117,2025-02-01 02:28:00,Off-Peak,13.1,22.93,1.16,903.65,223.36,677.74,33.86,934.96,-31.31,-3.46,-2.39,-1.37,Saturday,2
118,2025-04-14 17:06:00,Peak,0.62,5.0,1.31,245.17,10.37,183.88,41.21,235.46,9.71,3.96,15.66,1.94,Monday,17
119,2025-01-07 20:34:00,Peak,3.94,16.46,1.74,617.08,67.57,468.98,47.03,583.58,33.5,5.43,8.5,2.04,Tuesday,20
120,2025-04-18 00:05:00,Off-Peak,2.61,7.42,1.11,238.91,34.06,193.52,52.4,279.98,-41.07,-17.19,-15.74,-5.54,Friday,0
121,2025-04-29 07:10:00,Peak,1.09,5.34,1.68,383.45,15.31,310.59,45.66,371.56,11.89,3.1,10.91,2.23,Tuesday,7
122,2025-02-22 15:30:00,Off-Peak,6.33,14.63,1.18,485.11,101.91,363.83,21.2,486.94,-1.83,-0.38,-0.29,-0.13,Saturday,15
123,2025-01-28 12:57:00,Off-Peak,10.83,21.44,1.06,767.83,189.96,591.23,43.44,824.63,-56.8,-7.4,-5.24,-2.65,Tuesday,12
124,2025-01-08 05:24:00,Off-Peak,3.11,7.78,1.02,290.44,49.76,223.64,23.52,296.92,-6.48,-2.23,-2.08,-0.83,Wednesday,5
125,2025-01-01 12:16:00,Off-Peak,1.16,5.0,1.05,202.64,15.37,160.09,42.6,218.06,-15.42,-7.61,-13.29,-3.08,Wednesday,12
126,2025-04-29 14:18:00,Off-Peak,3.31,9.27,1.09,298.69,58.49,221.03,35.04,314.56,-15.87,-5.31,-4.79,-1.71,Tuesday,14
127,2025-02-24 22:46:00,Off-Peak,5.82,16.08,1.16,498.18,96.38,363.67,31.45,491.5,6.68,1.34,1.15,0.42,Monday,22
128,2025-04-11 17:42:00,Peak,5.53,21.87,1.72,816.73,90.14,588.05,39.27,717.46,99.27,12.15,17.95,4.54,Friday,17
129,2025-04-02 15:09:00,Off-Peak,6.55,13.51,1.0,424.44,108.6,322.57,35.26,466.43,-41.99,-9.89,-6.41,-3.11,Wednesday,15
130,2025-01-25 09:13:00,Peak,8.53,23.24,1.51,881.07,136.05,713.67,53.21,902.93,-21.86,-2.48,-2.56,-0.94,Saturday,9
131,2025-01-08 18:47:00,Peak,6.44,19.9,1.45,751.89,78.12,593.99,29.06,701.17,50.72,6.75,7.88,2.55,Wednesday,18
132,2025-03-11 01:47:00,Off-Peak,11.21,23.19,1.04,722.45,151.56,570.74,25.47,747.77,-25.32,-3.5,-2.26,-1.09,Tuesday,1
133,2025-02-10 01:03:00,Off-Peak,3.15,8.8,1.02,304.04,55.88,246.27,53.48,355.63,-51.59,-16.97,-16.38,-5.86,Monday,1
134,2025-03-16 15:32:00,Off-Peak,5.37,13.43,1.07,448.86,73.73,341.13,29.74,444.6,4.26,0.95,0.79,0.32,Sunday,15
135,2025-04-28 16:10:00,Off-Peak,9.44,20.9,1.19,712.98,156.99,548.99,21.29,727.27,-14.29,-2.0,-1.51,-0.68,Monday,16
136,2025-01-08 16:05:00,Off-Peak,7.82,17.51,1.06,591.4,113.78,449.46,35.48,598.72,-7.32,-1.24,-0.94,-0.42,Wednesday,16
137,2025-04-19 05:04:00,Off-Peak,18.42,37.76,1.1,1207.0,321.43,893.18,52.76,1267.37,-60.37,-5.0,-3.28,-1.6,Saturday,5
138,2025-03-18 02:43:00,Off-Peak,3.26,8.33,1.14,309.97,50.04,247.98,37.27,335.29,-25.32,-8.17,-7.77,-3.04,Tuesday,2
139,2025-04-21 07:25:00,Peak,9.55,25.53,1.42,950.96,150.79,770.28,38.8,959.87,-8.91,-0.94,-0.93,-0.35,Monday,7
140,2025-01-16 18:15:00,Peak,4.1,12.22,1.78,634.82,55.1,507.86,21.89,584.85,49.97,7.87,12.19,4.09,Thursday,18
141,2025-03-16 19:02:00,Peak,3.77,13.08,1.78,605.92,46.56,436.26,48.44,531.26,74.66,12.32,19.8,5.71,Sunday,19
142,2025-03-21 02:26:00,Off-Peak,12.56,24.56,1.05,810.19,207.74,607.64,33.75,849.13,-38.94,-4.81,-3.1,-1.59,Friday,2
143,2025-03-26 18:36:00,Peak,6.39,19.64,1.5,670.52,79.3,523.01,49.14,651.45,19.07,2.84,2.98,0.97,Wednesday,18
144,2025-03-08 10:59:00,Off-Peak,7.74,19.39,1.06,572.48,126.39,429.36,36.44,592.19,-19.71,-3.44,-2.55,-1.02,Saturday,10
145,2025-02-03 06:42:00,Peak,4.33,10.05,1.37,397.56,66.38,294.19,41.08,401.65,-4.09,-1.03,-0.94,-0.41,Monday,6
146,2025-04-02 10:15:00,Off-Peak,4.52,11.13,1.01,401.12,76.48,308.86,43.58,428.92,-27.8,-6.93,-6.15,-2.5,Wednesday,10
147,2025-02-03 12:08:00,Off-Peak,1.83,5.0,1.12,202.84,24.21,156.19,27.88,208.28,-5.44,-2.68,-2.97,-1.09,Monday,12
148,2025-03-27 20:19:00,Peak,7.34,22.76,1.5,833.59,111.94,658.54,31.76,802.24,31.35,3.76,4.27,1.38,Thursday,20
149,2025-02-28 10:59:00,Off-Peak,2.91,10.49,1.01,239.75,45.66,196.6,43.42,285.68,-45.93,-19.16,-15.78,-4.38,Friday,10
150,2025-04-07 02:00:00,Off-Peak,5.89,11.9,1.06,406.77,73.33,317.28,52.92,443.53,-36.76,-9.04,-6.24,-3.09,Monday,2
151,2025-02-28 19:36:00,Peak,11.2,26.17,1.74,1238.24,184.02,928.68,58.46,1171.16,67.08,5.42,5.99,2.56,Friday,19
152,2025-01-13 02:34:00,Off-Peak,1.4,5.0,1.05,287.7,20.06,235.91,40.97,296.94,-9.24,-3.21,-6.6,-1.85,Monday,2
153,2025-01-28 16:16:00,Off-Peak,30.7,58.99,1.03,1772.14,392.04,1382.27,22.96,1797.27,-25.13,-1.42,-0.82,-0.43,Tuesday,16
154,2025-01-17 11:56:00,Off-Peak,3.71,8.25,1.1,418.97,53.13,326.8,58.24,438.17,-19.2,-4.58,-5.18,-2.33,Friday,11
155,2025-01-09 07:23:00,Peak,6.01,21.46,1.79,871.1,75.67,662.04,36.83,774.54,96.56,11.08,16.07,4.5,Thursday,7
156,2025-02-06 05:28:00,Off-Peak,7.73,21.41,1.05,570.8,133.96,439.52,24.1,597.58,-26.78,-4.69,-3.46,-1.25,Thursday,5
157,2025-04-17 17:45:00,Peak,3.62,16.62,1.6,565.93,53.36,430.11,58.89,542.36,23.57,4.16,6.51,1.42,Thursday,17
158,2025-02-08 19:51:00,Peak,4.63,16.63,1.66,668.85,59.4,541.77,31.22,632.39,36.46,5.45,7.87,2.19,Saturday,19
159,2025-03-25 16:00:00,Off-Peak,12.81,33.64,1.05,890.32,173.06,712.26,46.27,931.59,-41.27,-4.64,-3.22,-1.23,Tuesday,16
160,2025-03-27 17:19:00,Peak,10.45,32.38,1.64,1233.43,170.86,900.4,25.76,1097.02,136.41,11.06,13.05,4.21,Thursday,17
161,2025-04-30 21:06:00,Off-Peak,5.45,12.29,1.07,446.88,91.12,335.16,48.78,475.06,-28.18,-6.31,-5.17,-2.29,Wednesday,21
162,2025-05-01 04:16:00,Off-Peak,6.49,14.63,1.13,556.29,79.5,406.09,59.05,544.64,11.65,2.09,1.8,0.8,Thursday,4
163,2025-01-15 03:47:00,Off-Peak,7.14,20.94,1.13,671.62,88.25,517.15,59.4,664.8,6.82,1.02,0.96,0.33,Wednesday,3
164,2025-03-12 04:17:00,Off-Peak,9.29,19.95,1.11,623.06,162.57,467.29,25.05,654.91,-31.85,-5.11,-3.43,-1.6,Wednesday,4
165,2025-02-06 19:13:00,Peak,9.71,32.93,1.25,856.21,135.84,625.03,50.75,811.62,44.59,5.21,4.59,1.35,Thursday,19
166,2025-04-02 10:13:00,Off-Peak,9.55,23.33,1.17,784.44,125.68,627.55,46.57,799.8,-15.36,-1.96,-1.61,-0.66,Wednesday,10
167,2025-03-29 20:54:00,Peak,4.85,16.77,1.39,507.97,61.79,370.82,52.06,484.67,23.3,4.59,4.8,1.39,Saturday,20
168,2025-02-03 16:31:00,Off-Peak,6.99,17.3,1.04,485.07,103.87,363.8,33.33,501.0,-15.93,-3.28,-2.28,-0.92,Monday,16
169,2025-02-02 01:05:00,Off-Peak,11.98,28.31,1.01,742.45,199.23,593.96,36.07,829.26,-86.81,-11.69,-7.25,-3.07,Sunday,1
170,2025-03-23 13:53:00,Off-Peak,21.92,40.12,1.12,1434.23,331.65,1104.36,33.67,1469.68,-35.45,-2.47,-1.62,-0.88,Sunday,13
171,2025-02-05 01:00:00,Off-Peak,6.86,15.99,1.14,582.67,83.14,466.14,50.66,599.94,-17.27,-2.96,-2.52,-1.08,Wednesday,1
172,2025-02-12 04:40:00,Off-Peak,4.39,9.15,1.0,318.86,65.41,242.33,52.36,360.1,-41.24,-12.93,-9.39,-4.51,Wednesday,4
173,2025-02-03 05:47:00,Off-Peak,3.56,6.76,1.1,355.1,49.38,284.08,29.97,363.43,-8.33,-2.35,-2.34,-1.23,Monday,5
174,2025-02-26 17:45:00,Peak,9.6,23.67,1.34,840.61,154.56,647.27,42.91,844.74,-4.13,-0.49,-0.43,-0.17,Wednesday,17
